"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"2022-05-27",407.910003662109,415.380004882812,407.700012207031,415.260009765625,84768700,395.187103271484
"2022-05-31",413.549987792969,416.459991455078,410.029998779297,412.929992675781,95937000,392.969757080078
"2022-06-01",415.170013427734,416.239990234375,406.929992675781,409.589996337891,86585800,389.791137695312
"2022-06-02",409.420013427734,417.440002441406,407.040008544922,417.390014648438,79609600,397.214141845703
"2022-06-03",412.399993896484,414.040008544922,409.510009765625,410.540008544922,71874300,390.695251464844
"2022-06-06",414.779998779297,416.609985351562,410.549987792969,411.790008544922,57508900,391.884826660156
"2022-06-07",408.100006103516,416.220001220703,407.609985351562,415.739990234375,59272400,395.643829345703
"2022-06-08",413.929992675781,415.820007324219,410.380004882812,411.220001220703,64350000,391.342346191406
"2022-06-09",409.339996337891,411.739990234375,401.440002441406,401.440002441406,86289800,382.035125732422
"2022-06-10",394.880004882812,395.779998779297,389.75,389.799987792969,132893900,370.957763671875
"2022-06-13",379.850006103516,381.809997558594,373.299987792969,375,170004900,356.873138427734
"2022-06-14",376.850006103516,377.940002441406,370.589996337891,373.869995117188,104011800,355.797790527344
"2022-06-15",377.359985351562,383.899993896484,372.119995117188,379.200012207031,125666800,360.870147705078
"2022-06-16",370.510009765625,370.940002441406,364.079986572266,366.649993896484,134473300,348.926788330078
"2022-06-17",365.510009765625,369.380004882812,362.170013427734,365.859985351562,111113900,349.679016113281
"2022-06-21",371.890014648438,376.529998779297,371.809997558594,375.070007324219,76811900,358.481689453125
"2022-06-22",370.619995117188,378.720001220703,370.179992675781,374.390014648438,90059400,357.831695556641
"2022-06-23",376.640014648438,378.829986572266,372.890014648438,378.059997558594,79292100,361.339416503906
"2022-06-24",381.399993896484,390.089996337891,381.369995117188,390.079986572266,98050300,372.827819824219
"2022-06-27",391.049987792969,391.359985351562,387.440002441406,388.589996337891,66009600,371.403747558594
"2022-06-28",390.230010986328,393.160003662109,380.529998779297,380.649993896484,86548900,363.814910888672
